run,lumi,event,is_e,is_mu,is_ee,is_emu,is_mumu,n_jets,n_btags,lep1_pt,lep1_iso,lep1_pdgId,lep2_pt,lep2_iso,lep2_pdgId,jet1_pt,jet2_pt,jet1_CSVv2,jet2_CSVv2,jet1_JecSF,jet1_JecSF_up,jet1_JecSF_down,MET_pt,MET_phi,mll,ttHFCategory,PUWeight,bWeight,triggerSF,lepIDSF,lepISOSF,Q2_upup,Q2_downdown,pdf_up,pdf_down
1,8957,1785736,1,0,0,0,0,5,3,71.4180,0.0000,11,-1,-1,-1,162.0828,146.5593,0.2385,0.9776,1.0535,1.0077,0.9923,17.7557,2.7369,-1,53,-1.0000,0.9155,0.9527,0.9725,0.9897,0.8800,1.2684,1.0238,0.9762
1,8957,1785772,1,0,0,0,0,6,2,84.5675,0.0383,11,-1,-1,-1,316.6072,310.2558,0.1564,0.9579,1.0605,1.0075,0.9925,221.7875,1.8336,-1,53,-1.0000,0.9022,0.9833,0.9850,0.9868,0.7637,1.4129,1.0367,0.9634
1,8957,1785781,1,0,0,0,0,4,3,38.7540,0.0622,-11,-1,-1,-1,89.1191,83.1013,0.9960,0.9980,1.1208,1.0142,0.9858,65.3608,-1.2463,-1,53,-1.0000,0.6869,0.9785,1.0010,0.9888,0.7368,1.6124,1.0175,0.9824
1,8957,1785786,0,1,0,0,0,5,4,99.8896,0.0120,13,-1,-1,-1,148.8629,75.7252,0.9875,0.8772,1.0476,1.0084,0.9916,116.0866,-1.1689,-1,51,-1.0000,0.4681,0.9826,0.9791,0.9982,0.7599,1.6388,1.0244,0.9759
1,8957,1785787,0,0,0,1,0,4,2,60.9396,0.0161,11,16.5493,0.0000,-13,180.7212,143.2321,0.9701,0.0620,1.1261,1.0074,0.9926,95.8529,1.0657,94.6637,51,-1.0000,0.6247,0.9785,0.9752,0.9796,0.8061,1.3491,1.0194,0.9804
1,8957,1785789,1,0,0,0,0,4,3,38.6715,0.0565,-11,-1,-1,-1,111.1609,73.5566,0.9297,0.9982,1.0345,1.0112,0.9888,105.2858,1.5001,-1,51,-1.0000,0.7263,0.9848,0.9864,0.9908,0.7195,1.7576,1.0175,0.9823
1,9763,1946191,1,0,0,0,0,6,3,68.7098,0.0078,-11,-1,-1,-1,193.7530,192.5197,0.9898,0.1427,1.1046,1.0071,0.9929,133.6341,-0.9971,-1,53,-1.0000,1.0982,0.9854,0.9995,0.9899,0.7820,1.3726,1.0222,0.9780
1,9763,1946198,1,0,0,0,0,5,2,93.6590,0.0000,11,-1,-1,-1,144.1985,86.3002,0.9485,-0.1000,1.1416,1.0089,0.9911,48.5303,-1.3417,-1,51,-1.0000,1.5752,0.9854,0.9995,0.9899,0.8187,1.3350,1.0233,0.9767
1,9763,1946215,0,1,0,0,0,5,3,99.4818,0.0053,-13,-1,-1,-1,73.2475,70.3965,0.8891,0.0664,1.0599,1.0117,0.9883,34.8699,2.1075,-1,53,-1.0000,0.9957,0.9729,0.9780,0.9995,0.8391,1.3148,1.0178,0.9820
1,9763,1946235,0,1,0,0,0,6,2,46.7359,0.0000,13,-1,-1,-1,54.0711,51.9565,0.3131,-0.1000,1.0975,1.0205,0.9795,42.1853,-1.0766,-1,53,-1.0000,1.4152,0.9898,0.9928,0.9982,0.9729,1.1078,1.0339,0.9662
1,9763,1946238,0,1,0,0,0,8,3,101.4334,0.0000,-13,-1,-1,-1,207.6657,118.6887,0.9201,0.9987,1.0672,1.0069,0.9931,121.5521,-0.3854,-1,53,-1.0000,0.5884,0.9826,0.9791,0.9982,0.7903,1.3746,1.0228,0.9775
1,9763,1946240,0,1,0,0,0,4,2,32.3544,0.0162,13,-1,-1,-1,146.3655,138.8091,0.7081,0.9300,1.1391,1.0087,0.9913,181.7224,-0.3865,-1,53,-1.0000,0.5976,0.9763,0.9805,0.9946,0.7246,1.5630,1.0655,0.9349
